 Mar 6,Detroit,Boston,Montr̩al,New Jersey,Winnipeg,NY Rangers,Vegas,Columbus,Florida,Tampa Bay,Dallas,Nashville,Carolina,Minnesota,Colorado,Chicago,Washington,Anaheim,,,,,,,,,,,,
 Mar 7,Calgary,Buffalo,Pittsburgh,Philadelphia,Arizona,Vancouver,,,,,,,,,,,,,,,,,,,,,,,,
 Mar 8,Philadelphia,Boston,Winnipeg,New Jersey,Colorado,Columbus,Buffalo,Ottawa,Vegas,Detroit,NY Rangers,Tampa Bay,Montr̩al,Florida,Anaheim,Nashville,Carolina,Chicago,NY Islanders,Edmonton,Washington,Los Angeles,St. Louis,San Jose,,,,,,
 Mar 9,Detroit,Columbus,Calgary,Ottawa,Anaheim,Dallas,Minnesota,Vancouver,,,,,,,,,,,,,,,,,,,,,,
 Mar 10,Chicago,Boston,Vegas,Buffalo,Montr̩al,Tampa Bay,Winnipeg,Philadelphia,Arizona,Colorado,St. Louis,Los Angeles,Washington,San Jose,Pittsburgh,Toronto,NY Rangers,Florida,New Jersey,Nashville,Minnesota,Edmonton,,,,,,,,
 Mar 11,Boston,Chicago,NY Islanders,Calgary,Dallas,Pittsburgh,Vancouver,Arizona,,,,,,,,,,,,,,,,,,,,,,
 Mar 12,Carolina,NY Rangers,Vegas,Philadelphia,Winnipeg,Washington,Montr̩al,Columbus,Ottawa,Florida,St. Louis,Anaheim,Vancouver,Los Angeles,Detroit,San Jose,,,,,,,,,,,,,,
 Mar 13,Boston,Carolina,Dallas,Montr̩al,Ottawa,Tampa Bay,Winnipeg,Nashville,Colorado,Minnesota,Edmonton,Calgary,Los Angeles,Arizona,,,,,,,,,,,,,,,,
 Mar 14,Dallas,Toronto,Pittsburgh,NY Rangers,San Jose,Edmonton,New Jersey,Vegas,Vancouver,Anaheim,,,,,,,,,,,,,,,,,,,,
 Mar 15,Toronto,Buffalo,Washington,NY Islanders,Columbus,Philadelphia,Pittsburgh,Montr̩al,Boston,Florida,Colorado,St. Louis,Chicago,Winnipeg,Nashville,Arizona,Detroit,Los Angeles,,,,,,,,,,,,
 Mar 16,NY Islanders,Washington,Dallas,Ottawa,Nashville,Colorado,San Jose,Calgary,Detroit,Anaheim,Minnesota,Vegas,,,,,,,,,,,,,,,,,,
 Mar 17,Chicago,Buffalo,Edmonton,Florida,New Jersey,Los Angeles,Montr̩al,Toronto,Boston,Tampa Bay,Philadelphia,Carolina,Ottawa,Columbus,NY Rangers,St. Louis,Minnesota,Arizona,San Jose,Vancouver,,,,,,,,,,
 Mar 18,Detroit,Colorado,Calgary,Vegas,Edmonton,Tampa Bay,Carolina,NY Islanders,Washington,Philadelphia,St. Louis,Chicago,Dallas,Winnipeg,New Jersey,Anaheim,,,,,,,,,,,,,,
 Mar 19,Columbus,Boston,Nashville,Buffalo,Florida,Montr̩al,Los Angeles,Minnesota,Calgary,Arizona,,,,,,,,,,,,,,,,,,,,
 Mar 20,Pittsburgh,NY Islanders,Columbus,NY Rangers,Dallas,Washington,Edmonton,Carolina,Florida,Ottawa,Philadelphia,Detroit,Toronto,Tampa Bay,Los Angeles,Winnipeg,Colorado,Chicago,Vancouver,Vegas,New Jersey,San Jose,,,,,,,,
 Mar 21,Arizona,Buffalo,Montr̩al,Pittsburgh,Boston,St. Louis,Anaheim,Calgary,,,,,,,,,,,,,,,,,,,,,,
 Mar 22,Tampa Bay,NY Islanders,NY Rangers,Philadelphia,Arizona,Carolina,Florida,Columbus,Edmonton,Ottawa,Washington,Detroit,Toronto,Nashville,Vancouver,Chicago,Los Angeles,Colorado,Vegas,San Jose,,,,,,,,,,
 Mar 23,Montr̩al,Buffalo,New Jersey,Pittsburgh,Vancouver,St. Louis,Anaheim,Winnipeg,Boston,Dallas,,,,,,,,,,,,,,,,,,,,
 Mar 24,Vegas,Colorado,Calgary,San Jose,Detroit,Toronto,Washington,Montr̩al,Carolina,Ottawa,Arizona,Florida,Tampa Bay,New Jersey,Chicago,NY Islanders,Buffalo,NY Rangers,St. Louis,Columbus,Nashville,Minnesota,Los Angeles,Edmonton,,,,,,
 Mar 25,Philadelphia,Pittsburgh,Vancouver,Dallas,Nashville,Winnipeg,Boston,Minnesota,Anaheim,Edmonton,,,,,,,,,,,,,,,,,,,,
 Mar 26,Buffalo,Toronto,Florida,NY Islanders,Ottawa,Carolina,Washington,NY Rangers,Detroit,Montr̩al,Arizona,Tampa Bay,San Jose,Chicago,Colorado,Vegas,Calgary,Los Angeles,,,,,,,,,,,,
 Mar 27,Carolina,New Jersey,NY Islanders,Ottawa,Pittsburgh,Detroit,San Jose,St. Louis,Minnesota,Nashville,Boston,Winnipeg,Philadelphia,Dallas,Columbus,Edmonton,Anaheim,Vancouver,,,,,,,,,,,,
 Mar 28,Florida,Toronto,NY Rangers,Washington,Arizona,Vegas,Philadelphia,Colorado,,,,,,,,,,,,,,,,,,,,,,
 Mar 29,Tampa Bay,Boston,Detroit,Buffalo,Pittsburgh,New Jersey,Florida,Ottawa,San Jose,Nashville,Dallas,Minnesota,Winnipeg,Chicago,Columbus,Calgary,Edmonton,Vancouver,Arizona,Los Angeles,,,,,,,,,,
 Mar 30,Toronto,NY Islanders,Tampa Bay,NY Rangers,Carolina,Washington,Chicago,Colorado,Los Angeles,Anaheim,St. Louis,Vegas,,,,,,,,,,,,,,,,,,
 Mar 31,Florida,Boston,Ottawa,Detroit,Columbus,Vancouver,Winnipeg,Toronto,NY Islanders,New Jersey,Montr̩al,Pittsburgh,NY Rangers,Carolina,Buffalo,Nashville,Minnesota,Dallas,St. Louis,Arizona,Edmonton,Calgary,San Jose,Vegas,,,,,,
 Apr 1,Boston,Philadelphia,Nashville,Tampa Bay,New Jersey,Montr̩al,Washington,Pittsburgh,Colorado,Anaheim,,,,,,,,,,,,,,,,,,,,
 Apr 2,Buffalo,Toronto,Winnipeg,Ottawa,Carolina,Florida,Washington,St. Louis,Edmonton,Minnesota,Colorado,Los Angeles,,,,,,,,,,,,,,,,,,
 Apr 3,NY Rangers,New Jersey,Philadelphia,NY Islanders,Detroit,Columbus,Winnipeg,Montr̩al,Boston,Tampa Bay,Nashville,Florida,Arizona,Calgary,Vegas,Vancouver,Dallas,San Jose,,,,,,,,,,,,
 Apr 4,Ottawa,Buffalo,Chicago,St. Louis,Minnesota,Anaheim,,,,,,,,,,,,,,,,,,,,,,,,
 Apr 5,Toronto,New Jersey,NY Rangers,NY Islanders,Carolina,Philadelphia,Nashville,Washington,Pittsburgh,Columbus,Montr̩al,Detroit,Boston,Florida,Calgary,Winnipeg,Vegas,Edmonton,Arizona,Vancouver,Minnesota,Los Angeles,Colorado,San Jose,,,,,,
 Apr 6,Ottawa,Pittsburgh,Buffalo,Tampa Bay,St. Louis,Chicago,Dallas,Anaheim,,,,,,,,,,,,,,,,,,,,,,
 Apr 7,NY Rangers,Philadelphia,Chicago,Winnipeg,Ottawa,Boston,Montr̩al,Toronto,NY Islanders,Detroit,Buffalo,Florida,New Jersey,Washington,Tampa Bay,Carolina,Columbus,Nashville,Anaheim,Arizona,St. Louis,Colorado,Vegas,Calgary,Vancouver,Edmonton,Dallas,Los Angeles,Minnesota,San Jose
